"pers_id","nombre","pergoomet_citations","pergoomet_yearfirst","pergoomet_yearlast","pergoomet_years","pergoomet_citespaper","pergoomet_citesyear","pergoomet_hindex","pergoomet_papers","pergoomet_eindex","pergoomet_awcr","pergoomet_awindex","pergoomet_gindex","pergoomet_hcindex","uniorg_id","uniorg_nombre","tipuniorg_id"
3869,"Francisco Fabian Carrascal Perez",21,2013,2023,11,1.75,1.91,2,12,3.46,5.23,2.29,4,3,4279,"Red de Innovación de Frutales",13
3869,"Francisco Fabian Carrascal Perez",21,2013,2023,11,1.75,1.91,2,12,3.46,5.23,2.29,4,3,4236,"Sistemas agrícolas del trópico (SAT)",12
3871,"Edgar Augusto Mancipe Muñoz",111,2008,2022,16,15.86,6.94,4,7,9.64,22.23,4.72,7,4,4293,"Centro de Investigación Tibaitatá",9
3871,"Edgar Augusto Mancipe Muñoz",111,2008,2022,16,15.86,6.94,4,7,9.64,22.23,4.72,7,4,4230,"Microbiología y Nutrición Animal del Trópico",12
3871,"Edgar Augusto Mancipe Muñoz",111,2008,2022,16,15.86,6.94,4,7,9.64,22.23,4.72,7,4,4281,"Red de Innovación de Ganadería y Especies Menores",13
3872,"Doris Elisa Canacuan Nasamuez",23,2009,2021,15,3.29,1.53,3,7,3.32,2.78,1.67,4,2,4227,"Investigación en frutas del trópico",12
3872,"Doris Elisa Canacuan Nasamuez",23,2009,2021,15,3.29,1.53,3,7,3.32,2.78,1.67,4,2,4279,"Red de Innovación de Frutales",13
3872,"Doris Elisa Canacuan Nasamuez",23,2009,2021,15,3.29,1.53,3,7,3.32,2.78,1.67,4,2,4292,"Centro de Investigación Palmira",9
3873,"Andres Eduardo Moreno Galvan",778,1998,2023,26,35.36,29.92,7,22,26.42,96.2,9.81,22,6,4293,"Centro de Investigación Tibaitatá",9
3873,"Andres Eduardo Moreno Galvan",778,1998,2023,26,35.36,29.92,7,22,26.42,96.2,9.81,22,6,4281,"Red de Innovación de Ganadería y Especies Menores",13
3873,"Andres Eduardo Moreno Galvan",778,1998,2023,26,35.36,29.92,7,22,26.42,96.2,9.81,22,6,4237,"Sistemas Agropecuarios sostenibles",12
3874,"Wilmar Alexander Wilches Ortiz",99,2011,2023,13,2.75,7.62,6,36,7.0,24.78,4.98,9,6,4232,"Raíces del Futuro - Manejo de suelo, agua y planta",12
3874,"Wilmar Alexander Wilches Ortiz",99,2011,2023,13,2.75,7.62,6,36,7.0,24.78,4.98,9,6,4275,"Red de Innovación de Raíces y Tubérculos",13
3874,"Wilmar Alexander Wilches Ortiz",99,2011,2023,13,2.75,7.62,6,36,7.0,24.78,4.98,9,6,4293,"Centro de Investigación Tibaitatá",9
3876,"Jonathan Alberto Mendoza Labrador",92,2014,2023,10,7.67,9.2,5,12,7.81,28.23,5.31,9,5,4237,"Sistemas Agropecuarios sostenibles",12
3876,"Jonathan Alberto Mendoza Labrador",92,2014,2023,10,7.67,9.2,5,12,7.81,28.23,5.31,9,5,4281,"Red de Innovación de Ganadería y Especies Menores",13
3876,"Jonathan Alberto Mendoza Labrador",92,2014,2023,10,7.67,9.2,5,12,7.81,28.23,5.31,9,5,4293,"Centro de Investigación Tibaitatá",9
3878,"Sindy Lorena Mojica Ramos",7,2011,2023,13,1.17,0.54,2,6,1.0,1.92,1.38,2,2,4275,"Red de Innovación de Raíces y Tubérculos",13
3878,"Sindy Lorena Mojica Ramos",7,2011,2023,13,1.17,0.54,2,6,1.0,1.92,1.38,2,2,4293,"Centro de Investigación Tibaitatá",9
3878,"Sindy Lorena Mojica Ramos",7,2011,2023,13,1.17,0.54,2,6,1.0,1.92,1.38,2,2,4223,"Grupo de análisis espacio-temporal y manejo de fenómenos fitosanitarios",12
3879,"Diego Alejandro Salinas Velandia",15,2022,2023,2,2.14,7.5,1,7,3.74,7.5,2.74,3,1,4278,"Red de Innovación de Hortalizas y Plantas Aromáticas",13
3879,"Diego Alejandro Salinas Velandia",15,2022,2023,2,2.14,7.5,1,7,3.74,7.5,2.74,3,1,4293,"Centro de Investigación Tibaitatá",9
